,type,feature_extractor,epoch,dataset,split,metric,value
0,trained,unfrozen,0,Phoenix-v5,train,loss,0.1475421736539588
1,trained,unfrozen,0,Phoenix-v5,train,accuracy,0
2,trained,unfrozen,0,Phoenix-v5,train,precision,0
3,trained,unfrozen,0,Phoenix-v5,train,recall,0
4,trained,unfrozen,0,Phoenix-v5,train,f1score,0
5,trained,unfrozen,0,Phoenix-v5,train,specificity,0
6,trained,unfrozen,0,Phoenix-v5,train,auc,0
7,trained,unfrozen,0,Phoenix-v5,train,iou,0
8,trained,unfrozen,0,Phoenix-v5,validation,loss,0.1475262527819723
9,trained,unfrozen,0,Phoenix-v5,validation,accuracy,0
10,trained,unfrozen,0,Phoenix-v5,validation,precision,0
11,trained,unfrozen,0,Phoenix-v5,validation,recall,0
12,trained,unfrozen,0,Phoenix-v5,validation,f1score,0
13,trained,unfrozen,0,Phoenix-v5,validation,specificity,0
14,trained,unfrozen,0,Phoenix-v5,validation,auc,0
15,trained,unfrozen,0,Phoenix-v5,validation,iou,0
16,trained,unfrozen,0,Qbert-v5,train,loss,0.10175229816132991
17,trained,unfrozen,0,Qbert-v5,train,accuracy,0
18,trained,unfrozen,0,Qbert-v5,train,precision,0
19,trained,unfrozen,0,Qbert-v5,train,recall,0
20,trained,unfrozen,0,Qbert-v5,train,f1score,0
21,trained,unfrozen,0,Qbert-v5,train,specificity,0
22,trained,unfrozen,0,Qbert-v5,train,auc,0
23,trained,unfrozen,0,Qbert-v5,train,iou,0
24,trained,unfrozen,0,Qbert-v5,validation,loss,0.10172660224712812
25,trained,unfrozen,0,Qbert-v5,validation,accuracy,0
26,trained,unfrozen,0,Qbert-v5,validation,precision,0
27,trained,unfrozen,0,Qbert-v5,validation,recall,0
28,trained,unfrozen,0,Qbert-v5,validation,f1score,0
29,trained,unfrozen,0,Qbert-v5,validation,specificity,0
30,trained,unfrozen,0,Qbert-v5,validation,auc,0
31,trained,unfrozen,0,Qbert-v5,validation,iou,0
32,trained,unfrozen,1999,Phoenix-v5,train,loss,0.0050816857918596315
33,trained,unfrozen,1999,Phoenix-v5,train,accuracy,0
34,trained,unfrozen,1999,Phoenix-v5,train,precision,0
35,trained,unfrozen,1999,Phoenix-v5,train,recall,0
36,trained,unfrozen,1999,Phoenix-v5,train,f1score,0
37,trained,unfrozen,1999,Phoenix-v5,train,specificity,0
38,trained,unfrozen,1999,Phoenix-v5,train,auc,0
39,trained,unfrozen,1999,Phoenix-v5,train,iou,0
40,trained,unfrozen,1999,Phoenix-v5,validation,loss,0.0051120646530762315
41,trained,unfrozen,1999,Phoenix-v5,validation,accuracy,0
42,trained,unfrozen,1999,Phoenix-v5,validation,precision,0
