,type,feature_extractor,epoch,dataset,split,metric,value
88,trained,unfrozen,999,Kangaroo-v5,validation,loss,0.21606558444909751
89,trained,unfrozen,999,Kangaroo-v5,validation,accuracy,0
90,trained,unfrozen,999,Kangaroo-v5,validation,precision,0
91,trained,unfrozen,999,Kangaroo-v5,validation,recall,0
92,trained,unfrozen,999,Kangaroo-v5,validation,f1score,0
93,trained,unfrozen,999,Kangaroo-v5,validation,specificity,0
94,trained,unfrozen,999,Kangaroo-v5,validation,auc,0
95,trained,unfrozen,999,Kangaroo-v5,validation,iou,0
96,trained,unfrozen,999,Phoenix-v5,train,loss,0.40179920172974054
97,trained,unfrozen,999,Phoenix-v5,train,accuracy,0
98,trained,unfrozen,999,Phoenix-v5,train,precision,0
99,trained,unfrozen,999,Phoenix-v5,train,recall,0
100,trained,unfrozen,999,Phoenix-v5,train,f1score,0
101,trained,unfrozen,999,Phoenix-v5,train,specificity,0
102,trained,unfrozen,999,Phoenix-v5,train,auc,0
103,trained,unfrozen,999,Phoenix-v5,train,iou,0
104,trained,unfrozen,999,Phoenix-v5,validation,loss,0.4017880642786622
105,trained,unfrozen,999,Phoenix-v5,validation,accuracy,0
106,trained,unfrozen,999,Phoenix-v5,validation,precision,0
107,trained,unfrozen,999,Phoenix-v5,validation,recall,0
108,trained,unfrozen,999,Phoenix-v5,validation,f1score,0
109,trained,unfrozen,999,Phoenix-v5,validation,specificity,0
110,trained,unfrozen,999,Phoenix-v5,validation,auc,0
111,trained,unfrozen,999,Phoenix-v5,validation,iou,0
112,trained,unfrozen,999,Seaquest-v5,train,loss,0.16066079882122355
113,trained,unfrozen,999,Seaquest-v5,train,accuracy,0
114,trained,unfrozen,999,Seaquest-v5,train,precision,0
115,trained,unfrozen,999,Seaquest-v5,train,recall,0
116,trained,unfrozen,999,Seaquest-v5,train,f1score,0
117,trained,unfrozen,999,Seaquest-v5,train,specificity,0
118,trained,unfrozen,999,Seaquest-v5,train,auc,0
119,trained,unfrozen,999,Seaquest-v5,train,iou,0
120,trained,unfrozen,999,Seaquest-v5,validation,loss,0.16068211593665183
121,trained,unfrozen,999,Seaquest-v5,validation,accuracy,0
122,trained,unfrozen,999,Seaquest-v5,validation,precision,0
123,trained,unfrozen,999,Seaquest-v5,validation,recall,0
