,type,feature_extractor,epoch,dataset,split,metric,value
133,trained,unfrozen,2999,Qbert-v5,train,specificity,0
134,trained,unfrozen,2999,Qbert-v5,train,auc,0
135,trained,unfrozen,2999,Qbert-v5,train,iou,0
136,trained,unfrozen,2999,Qbert-v5,validation,loss,0.24337462049264175
137,trained,unfrozen,2999,Qbert-v5,validation,accuracy,0
138,trained,unfrozen,2999,Qbert-v5,validation,precision,0
139,trained,unfrozen,2999,Qbert-v5,validation,recall,0
140,trained,unfrozen,2999,Qbert-v5,validation,f1score,0
141,trained,unfrozen,2999,Qbert-v5,validation,specificity,0
142,trained,unfrozen,2999,Qbert-v5,validation,auc,0
143,trained,unfrozen,2999,Qbert-v5,validation,iou,0
144,trained,unfrozen,3999,Phoenix-v5,train,loss,0.11661649733899611
145,trained,unfrozen,3999,Phoenix-v5,train,accuracy,0
146,trained,unfrozen,3999,Phoenix-v5,train,precision,0
147,trained,unfrozen,3999,Phoenix-v5,train,recall,0
148,trained,unfrozen,3999,Phoenix-v5,train,f1score,0
149,trained,unfrozen,3999,Phoenix-v5,train,specificity,0
150,trained,unfrozen,3999,Phoenix-v5,train,auc,0
151,trained,unfrozen,3999,Phoenix-v5,train,iou,0
152,trained,unfrozen,3999,Phoenix-v5,validation,loss,0.11665091756731272
153,trained,unfrozen,3999,Phoenix-v5,validation,accuracy,0
154,trained,unfrozen,3999,Phoenix-v5,validation,precision,0
155,trained,unfrozen,3999,Phoenix-v5,validation,recall,0
156,trained,unfrozen,3999,Phoenix-v5,validation,f1score,0
157,trained,unfrozen,3999,Phoenix-v5,validation,specificity,0
158,trained,unfrozen,3999,Phoenix-v5,validation,auc,0
159,trained,unfrozen,3999,Phoenix-v5,validation,iou,0
160,trained,unfrozen,3999,DemonAttack-v5,train,loss,0.07729978406082386
161,trained,unfrozen,3999,DemonAttack-v5,train,accuracy,0
162,trained,unfrozen,3999,DemonAttack-v5,train,precision,0
163,trained,unfrozen,3999,DemonAttack-v5,train,recall,0
164,trained,unfrozen,3999,DemonAttack-v5,train,f1score,0
165,trained,unfrozen,3999,DemonAttack-v5,train,specificity,0
166,trained,unfrozen,3999,DemonAttack-v5,train,auc,0
167,trained,unfrozen,3999,DemonAttack-v5,train,iou,0
168,trained,unfrozen,3999,DemonAttack-v5,validation,loss,0.07724716955087554
169,trained,unfrozen,3999,DemonAttack-v5,validation,accuracy,0
170,trained,unfrozen,3999,DemonAttack-v5,validation,precision,0
171,trained,unfrozen,3999,DemonAttack-v5,validation,recall,0
172,trained,unfrozen,3999,DemonAttack-v5,validation,f1score,0
173,trained,unfrozen,3999,DemonAttack-v5,validation,specificity,0
174,trained,unfrozen,3999,DemonAttack-v5,validation,auc,0
175,trained,unfrozen,3999,DemonAttack-v5,validation,iou,0
176,trained,unfrozen,3999,Qbert-v5,train,loss,0.23622496040631447
177,trained,unfrozen,3999,Qbert-v5,train,accuracy,0
178,trained,unfrozen,3999,Qbert-v5,train,precision,0
179,trained,unfrozen,3999,Qbert-v5,train,recall,0
180,trained,unfrozen,3999,Qbert-v5,train,f1score,0
181,trained,unfrozen,3999,Qbert-v5,train,specificity,0
182,trained,unfrozen,3999,Qbert-v5,train,auc,0
183,trained,unfrozen,3999,Qbert-v5,train,iou,0
184,trained,unfrozen,3999,Qbert-v5,validation,loss,0.23592349451321823
185,trained,unfrozen,3999,Qbert-v5,validation,accuracy,0
186,trained,unfrozen,3999,Qbert-v5,validation,precision,0
187,trained,unfrozen,3999,Qbert-v5,validation,recall,0
188,trained,unfrozen,3999,Qbert-v5,validation,f1score,0
189,trained,unfrozen,3999,Qbert-v5,validation,specificity,0
